dataset,embedding_size,num_layers,loss,f1,acc,lr,it,peak_mem,ppv,seed
aifb,512,1,0.3110901188175521,0.9002688172043011,0.9444444444444444,0.01,14937,16862208,True,0
aifb,512,1,0.2518528396192366,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,1
aifb,512,1,0.3449932601025429,0.9002688172043011,0.9444444444444444,0.01,14937,16860672,True,2
aifb,512,1,0.1273327160327978,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,3
aifb,512,1,0.2334067844920041,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,4
aifb,512,1,0.293277376727985,0.8661931818181817,0.9166666666666666,0.01,14937,16860672,True,5
aifb,512,1,0.2637168060046326,0.9002688172043011,0.9444444444444444,0.01,14937,16860672,True,6
aifb,512,1,0.259688580634917,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,7
aifb,512,1,0.2357853277470387,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,8
aifb,512,1,0.2005113087011482,0.969208211143695,0.9722222222222222,0.01,14937,16860672,True,9
am,768,5,0.4779938362861768,0.8287538430680018,0.8434343434343434,0.01,17818,9638231040,True,0
am,768,5,0.506654740024727,0.8214021522774689,0.8484848484848485,0.01,17818,9639619072,True,1
am,768,5,0.4883091920947234,0.8253366903134705,0.8383838383838383,0.01,17818,9639619072,True,2
am,768,5,0.4838556461758768,0.8289510611913203,0.8585858585858586,0.01,17818,9639619072,True,3
am,768,5,0.4983258618710287,0.7918695332121637,0.8434343434343434,0.01,17818,9639619072,True,4
am,768,5,0.461488713210077,0.7952118651148671,0.8383838383838383,0.01,17818,9639619072,True,5
am,768,5,0.4641524222856606,0.8488734272669369,0.8535353535353535,0.01,17818,9639619072,True,6
am,768,5,0.4925019462699894,0.8351037235325162,0.8484848484848485,0.01,17818,9639619072,True,7
am,768,5,0.4859666258235066,0.8322200916883511,0.8585858585858586,0.01,17818,9639619072,True,8
am,768,5,0.4967861232133783,0.8266807145747479,0.8484848484848485,0.01,17818,9639619072,True,9
bgs,512,5,0.3916134038994492,0.7410714285714286,0.7931034482758621,0.01,8645,855090688,True,0
bgs,512,5,0.2993953522496878,0.882591093117409,0.896551724137931,0.01,8645,855089152,True,1
bgs,512,5,0.3310269330694922,0.8273809523809523,0.8620689655172413,0.01,8645,855089152,True,2
bgs,512,5,0.383919583288457,0.7583333333333333,0.7931034482758621,0.01,8645,855089152,True,3
bgs,512,5,0.398847200099841,0.7410714285714286,0.7931034482758621,0.01,8645,855089152,True,4
bgs,512,5,0.2957927194772237,0.8751793400286944,0.896551724137931,0.01,8645,855089152,True,5
bgs,512,5,0.2785902728522334,0.8273809523809523,0.8620689655172413,0.01,8645,855089152,True,6
bgs,512,5,0.3890578141153061,0.8388888888888888,0.8620689655172413,0.01,8645,855089152,True,7
bgs,512,5,0.3940898868347667,0.7583333333333333,0.7931034482758621,0.01,8645,855089152,True,8
bgs,512,5,0.3096084183587541,0.8273809523809523,0.8620689655172413,0.01,8645,855089152,True,9
dmg777k,1024,2,0.8440569043222527,0.5943177718399756,0.6756621689155422,0.01,13279,958009344,True,0
dmg777k,1024,2,0.8229003375682032,0.6024207058816364,0.6816591704147926,0.01,13279,1001997312,True,1
dmg777k,1024,2,0.8366356940729938,0.6002372819891038,0.6756621689155422,0.01,13279,1001997312,True,2
dmg777k,1024,2,0.8375551946187576,0.5916518046782893,0.672663668165917,0.01,13279,1001997312,True,3
dmg777k,1024,2,0.8453927073413607,0.5987598750526633,0.6696651674162919,0.01,13279,1001997312,True,4
dmg777k,1024,2,0.8532630091168657,0.5863514618344396,0.6701649175412294,0.01,13279,1001997312,True,5
dmg777k,1024,2,0.8404391171417912,0.6049124782745277,0.6861569215392304,0.01,13279,1001850368,True,6
dmg777k,1024,2,0.8343060196180905,0.6090135179170041,0.6831584207896052,0.01,13279,1002192384,True,7
dmg777k,1024,2,0.8385925815304104,0.5957337410124544,0.679160419790105,0.01,13279,1002192384,True,8
dmg777k,1024,2,0.848820624919522,0.6000491923895152,0.665167416291854,0.01,13279,1002192384,True,9
