dataset,embedding_size,num_layers,loss,f1,acc,lr,it,peak_mem,ppv,seed
mdgenre,1024,5,1.1141235577371362,0.2354056649858475,0.6688851913477537,0.01,7039,6025901568,True,0
mdgenre,1024,5,1.108243440508592,0.2244990367045473,0.6682196339434276,0.01,7039,6025846272,True,1
mdgenre,1024,5,1.1030535076802814,0.2347468827019673,0.6732113144758736,0.01,7039,6025846272,True,2
mdgenre,1024,5,1.1117872790346224,0.2302071076361292,0.6715474209650583,0.01,7039,6025846272,True,3
mdgenre,1024,5,1.1106085941754764,0.2237597453529853,0.6688851913477537,0.01,7039,6025846272,True,4
mdgenre,1024,5,1.099692583795453,0.2263864060414731,0.6738768718801996,0.01,7039,6025846272,True,5
mdgenre,1024,5,1.1073561214022452,0.2267235886473735,0.6708818635607321,0.01,7039,6025846272,True,6
mdgenre,1024,5,1.104544357697783,0.2307425978353878,0.6755407653910149,0.01,7039,6025846272,True,7
mdgenre,1024,5,1.096382110168352,0.2333725615609075,0.6728785357737105,0.01,7039,6025846272,True,8
mdgenre,1024,5,1.1085810982428022,0.23202670728017186,0.6715474209650583,0.01,7039,6025901568,True,9
mdgenre,768,5,1.206169671534098,0.17892657870656523,0.653910149750416,0.01,6550,4593941504,False,0
mdgenre,768,5,1.2040024761086694,0.16945825494892763,0.6522462562396006,0.01,6550,4593941504,False,1
mdgenre,768,5,1.1901379695597305,0.1797320179351013,0.654242928452579,0.01,6550,4593941504,False,2
mdgenre,768,5,1.2079212047476697,0.16763100750255477,0.6495840266222962,0.01,6550,4593941504,False,3
mdgenre,768,5,1.2021127581890623,0.1667311414087929,0.653910149750416,0.01,6550,4593941504,False,4
mdgenre,768,5,1.2144240174600138,0.14698830859821085,0.6452579034941763,0.01,6550,4593941504,False,5
mdgenre,768,5,1.2071100648335062,0.15863586808576424,0.6479201331114809,0.01,6550,4593941504,False,6
mdgenre,768,5,1.1965810578186526,0.15689879566382026,0.648585690515807,0.01,6550,4593941504,False,7
mdgenre,768,5,1.209352163331359,0.17206756775488743,0.6549084858569052,0.01,6550,4593941504,False,8
mdgenre,768,5,1.198854386922393,0.16872154096688186,0.64891846921797,0.01,6550,4593941504,False,9
amplus,1024,5,0.4765850330735194,0.7768881438962045,0.8455,0.01,24222,13890433024,True,0
amplus,1024,5,0.481010593215913,0.774380704769722,0.8446,0.01,24222,13951382528,True,1
amplus,1024,5,0.48800654043298747,0.7720413781829202,0.84305,0.01,24222,13951382528,True,2
amplus,1024,5,0.4811437032463335,0.7742778078590824,0.84305,0.01,24222,13951382528,True,3
amplus,1024,5,0.47427741720610195,0.777683134644893,0.84705,0.01,24222,13951382528,True,4
amplus,1024,5,0.48851325703310433,0.7743038773015392,0.8418,0.01,24222,13951382528,True,5
amplus,1024,5,0.4745667701129187,0.7785734970124742,0.84685,0.01,24222,13951382528,True,6
amplus,1024,5,0.4739329232122918,0.7731615492935155,0.845,0.01,24222,13951382528,True,7
amplus,1024,5,0.47392873284772374,0.7779731091198512,0.84725,0.01,24222,13951382528,True,8
amplus,1024,5,0.4683911043683092,0.7813393124208946,0.84985,0.01,24222,13951382528,True,9
amplus,1024,5,0.685678893418092,0.6559126674095221,0.76835,0.01,24222,13951382528,False,0
amplus,1024,5,0.6895794620806376,0.6578509348853776,0.77005,0.01,24222,13951382528,False,1
amplus,1024,5,0.687343531249441,0.6563529419956969,0.76975,0.01,24222,13951382528,False,2
