dataset,embedding_size,num_layers,fold,loss,f1,acc,lr,it,peak_mem,seed,ppv
aifb,256,1,0,0.4067589588531728,0.7806060606060605,0.8571428571428571,0.0622659996151924,696.0,9226240.0,0,1
aifb,256,1,0,1.0938479294017736,0.2596153846153846,0.4642857142857143,0.0622659996151924,158.0,9224704.0,0,0
aifb,256,2,0,0.6681437358743871,0.6148272017837235,0.8214285714285714,0.0622659996151924,332.0,31795712.0,0,1
aifb,256,2,0,0.7721895949440916,0.5934343434343434,0.7857142857142857,0.0622659996151924,218.0,31795712.0,0,0
aifb,256,3,0,0.4763883941978578,0.914342105263158,0.9285714285714286,0.0622659996151924,638.0,38422016.0,0,1
aifb,256,3,0,0.4961270241016737,0.914342105263158,0.9285714285714286,0.0622659996151924,1108.0,38422016.0,0,0
aifb,256,4,0,0.4290151701899932,0.7972727272727272,0.8571428571428571,0.0622659996151924,513.0,39961088.0,0,1
aifb,256,4,0,0.4150724577429012,0.8188644688644688,0.8928571428571429,0.0622659996151924,679.0,39961088.0,0,0
aifb,256,5,0,0.6192226366322098,0.6862470862470862,0.7857142857142857,0.0622659996151924,218.0,40969216.0,0,1
aifb,256,5,0,0.6848922157388497,0.7545454545454545,0.7857142857142857,0.0622659996151924,466.0,40969216.0,0,0
aifb,512,1,0,0.3886798380302177,0.8021978021978021,0.8928571428571429,0.0622659996151924,592.0,17478144.0,0,1
aifb,512,1,0,1.138184415468413,0.28,0.5,0.0622659996151924,106.0,17478144.0,0,0
aifb,512,2,0,0.4709415865400897,0.708041958041958,0.8571428571428571,0.0622659996151924,955.0,58926592.0,0,1
aifb,512,2,0,0.6626459815724794,0.7327838827838827,0.75,0.0622659996151924,1319.0,58926592.0,0,0
aifb,512,3,0,0.5631719889808505,0.7548913043478261,0.7857142857142857,0.0622659996151924,546.0,72619520.0,0,1
aifb,512,3,0,0.551901636343577,0.7996336996336996,0.8571428571428571,0.0622659996151924,643.0,72619520.0,0,0
aifb,512,4,0,0.6048141699839941,0.7356060606060606,0.8214285714285714,0.0622659996151924,933.0,74596864.0,0,1
aifb,512,4,0,0.5288267468364679,0.7757246376811594,0.8214285714285714,0.0622659996151924,976.0,74596864.0,0,0
aifb,512,5,0,0.5732385267189525,0.7114130434782608,0.7142857142857143,0.0622659996151924,768.0,75682816.0,0,1
aifb,512,5,0,0.5359843751959904,0.7758241758241758,0.8214285714285714,0.0622659996151924,1020.0,75682816.0,0,0
aifb,1024,1,0,0.399663041719958,0.8974358974358974,0.9285714285714286,0.0622659996151924,948.0,35557888.0,0,1
aifb,1024,1,0,1.003478311306608,0.2996794871794872,0.5357142857142857,0.0622659996151924,259.0,35557888.0,0,0
aifb,1024,2,0,0.5211744686584526,0.6235632183908045,0.8214285714285714,0.0622659996151924,261.0,117048832.0,0,1
aifb,1024,2,0,0.7184496047611837,0.400974025974026,0.7142857142857143,0.0622659996151924,252.0,117048832.0,0,0
aifb,1024,3,0,0.417644755038026,0.7996336996336996,0.8571428571428571,0.0622659996151924,872.0,143304192.0,0,1
aifb,1024,3,0,0.4416853248201601,0.7996336996336996,0.8571428571428571,0.0622659996151924,1994.0,143304192.0,0,0
aifb,1024,4,0,0.4688295697954378,0.7996336996336996,0.8571428571428571,0.0622659996151924,972.0,145441280.0,0,1
aifb,1024,4,0,0.4707337655629451,0.7996336996336996,0.8571428571428571,0.0622659996151924,926.0,145441280.0,0,0
aifb,1024,5,0,0.5190217441733848,0.7996336996336996,0.8571428571428571,0.0622659996151924,257.0,146682880.0,0,1
aifb,1024,5,0,0.4568515513339493,0.7972727272727272,0.8571428571428571,0.0622659996151924,819.0,146682880.0,0,0
aifb,256,1,1,0.4781609796475949,0.6517857142857143,0.8571428571428571,0.0622659996151924,426.0,9224704.0,1,1
aifb,256,1,1,0.849716658720803,0.3440860215053763,0.6071428571428571,0.0622659996151924,654.0,9224704.0,1,0
aifb,256,2,1,0.7419422884184871,0.4179894179894179,0.7142857142857143,0.0622659996151924,218.0,31102464.0,1,1
aifb,256,2,1,0.6051846397280948,0.4285714285714285,0.75,0.0622659996151924,1883.0,31102464.0,1,0
aifb,256,3,1,0.5490415613879926,0.5055555555555555,0.75,0.0622659996151924,1081.0,38565376.0,1,1
aifb,256,3,1,0.4934831576469585,0.5226190476190476,0.7857142857142857,0.0622659996151924,1997.0,38565376.0,1,0
aifb,256,4,1,0.5714123448564279,0.5270719903206292,0.7857142857142857,0.0622659996151924,476.0,40247296.0,1,1
aifb,256,4,1,0.5317047726206405,0.5055555555555555,0.75,0.0622659996151924,888.0,40247296.0,1,0
aifb,256,5,1,0.4237701535909791,0.6944444444444444,0.8928571428571429,0.0622659996151924,1998.0,40969216.0,1,1
aifb,256,5,1,0.3759797011193239,0.6944444444444444,0.8928571428571429,0.0622659996151924,1998.0,40969216.0,1,0
aifb,512,1,1,0.4444361238629066,0.6203703703703703,0.8214285714285714,0.0622659996151924,399.0,17478144.0,1,1
aifb,512,1,1,0.8585731424260946,0.4068965517241379,0.7142857142857143,0.0622659996151924,843.0,17478144.0,1,0
aifb,512,2,1,0.4436782799503427,0.5939849624060151,0.8214285714285714,0.0622659996151924,1992.0,58926592.0,1,1
aifb,512,2,1,0.468609018042379,0.7976190476190476,0.8571428571428571,0.0622659996151924,1999.0,58926592.0,1,0
aifb,512,3,1,0.5973531020691105,0.5939849624060151,0.8214285714285714,0.0622659996151924,1030.0,72619520.0,1,1
aifb,512,3,1,0.6443907183096548,0.6465643274853802,0.8571428571428571,0.0622659996151924,387.0,72619520.0,1,0
aifb,512,4,1,0.4037341567408775,0.6944444444444444,0.8928571428571429,0.0622659996151924,1973.0,74596864.0,1,1
aifb,512,4,1,0.4004821909524206,0.6944444444444444,0.8928571428571429,0.0622659996151924,1998.0,74596864.0,1,0
aifb,512,5,1,0.4096344110339392,0.6898335582546109,0.8928571428571429,0.0622659996151924,1993.0,75682816.0,1,1
aifb,512,5,1,0.3571871760729093,0.6944444444444444,0.8928571428571429,0.0622659996151924,1999.0,75682816.0,1,0
aifb,1024,1,1,0.401995200662507,0.6280458089668616,0.8214285714285714,0.0622659996151924,328.0,35557888.0,1,1
aifb,1024,1,1,0.7903758368853601,0.3345588235294117,0.6071428571428571,0.0622659996151924,1414.0,35557888.0,1,0
aifb,1024,2,1,0.4895686617695401,0.5997536945812808,0.8214285714285714,0.0622659996151924,1529.0,117048832.0,1,1
aifb,1024,2,1,0.409352741462701,0.7685881370091897,0.8571428571428571,0.0622659996151924,1998.0,117048832.0,1,0
aifb,1024,3,1,0.3781296051879422,0.7863247863247862,0.8571428571428571,0.0622659996151924,1999.0,143304192.0,1,1
aifb,1024,3,1,0.3374875372161071,0.8217780026990553,0.8928571428571429,0.0622659996151924,1999.0,143304192.0,1,0
aifb,1024,4,1,0.5125356979252601,0.5939849624060151,0.8214285714285714,0.0622659996151924,1002.0,145441280.0,1,1
aifb,1024,4,1,0.5113002743463286,0.5939849624060151,0.8214285714285714,0.0622659996151924,692.0,145441280.0,1,0
aifb,1024,5,1,0.5137034291422479,0.5997536945812808,0.8214285714285714,0.0622659996151924,961.0,146682880.0,1,1
aifb,1024,5,1,0.464793959959342,0.6517857142857143,0.8571428571428571,0.0622659996151924,1566.0,146682880.0,1,0
aifb,256,1,2,0.2836451697203633,0.8088888888888889,0.8571428571428571,0.0622659996151924,1995.0,9224704.0,2,1
aifb,256,1,2,0.8224706046332706,0.339655172413793,0.6071428571428571,0.0622659996151924,682.0,9224704.0,2,0
aifb,256,2,2,0.4229888588048465,0.9182692307692308,0.9285714285714286,0.0622659996151924,1271.0,31102464.0,2,1
aifb,256,2,2,0.565722742899026,0.7422723475355055,0.8214285714285714,0.0622659996151924,1043.0,31102464.0,2,0
aifb,256,3,2,0.4228507319699203,0.914342105263158,0.9285714285714286,0.0622659996151924,779.0,38565376.0,2,1
aifb,256,3,2,0.4093743466580002,0.8904914529914529,0.8928571428571429,0.0622659996151924,1984.0,38565376.0,2,0
aifb,256,4,2,0.5216284192882606,0.7473544973544973,0.7857142857142857,0.0622659996151924,487.0,40247296.0,2,1
aifb,256,4,2,0.4905005564787031,0.7473544973544973,0.7857142857142857,0.0622659996151924,224.0,40247296.0,2,0
aifb,256,5,2,0.4242125180316564,0.8291666666666666,0.8571428571428571,0.0622659996151924,810.0,40969216.0,2,1
aifb,256,5,2,0.4204064057349726,0.8588888888888888,0.8571428571428571,0.0622659996151924,752.0,40969216.0,2,0
aifb,512,1,2,0.1960307688605056,0.9066666666666666,0.9642857142857144,0.0622659996151924,1999.0,17478144.0,2,1
aifb,512,1,2,0.817770872233458,0.4797619047619047,0.7142857142857143,0.0622659996151924,835.0,17478144.0,2,0
